City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
496,Carutapera,BR,78.91,few clouds,-1.2,-46.02,Lidera
510,Morondava,MG,79.68,scattered clouds,-20.28,44.28,La Case Bambou
511,Bontang,ID,78.75,overcast clouds,0.13,117.5,Okra Leaf Guest House Syariah
517,Pozo Colorado,PY,89.24,clear sky,-23.49,-58.8,Hospedaje la Amistad
525,Langub,PH,81.95,overcast clouds,10.8,123.54,Bonista Beach Resort
527,Nouadhibou,MR,75.2,overcast clouds,20.93,-17.03,El Medina
529,Lazaro Cardenas,MX,79.79,clear sky,17.96,-102.2,Collection O Hotel Quinta Antigua
534,Road Town,VG,80.6,scattered clouds,18.42,-64.62,"ZINGARA 76ft Catamaran, full crew-all included"
537,Miramar,US,77.0,scattered clouds,25.99,-80.23,Stadium Hotel
540,Srandakan,ID,80.26,moderate rain,-7.94,110.25,Puri Brata
547,Marang,MY,77.0,heavy intensity rain,5.21,103.21,DBarakah Homestay
548,San Ramon De La Nueva Oran,AR,87.01,light rain,-23.13,-64.33,Hotel Residencial Centro
549,Voh,NC,85.69,overcast clouds,-20.97,164.7,Le gîte du Koniambo
550,Nanakuli,US,86.0,clear sky,21.39,-158.15,Camp Pālehua
552,Manokwari,ID,79.65,moderate rain,-0.87,134.08,Swiss Belhotel Manokwari
555,Cabo San Lucas,MX,79.0,overcast clouds,22.89,-109.91,Hotel Tesoro Los Cabos
557,Acala,MX,80.6,few clouds,16.57,-92.8,Hotel Jesus Acala
559,Conakry,GN,81.7,scattered clouds,9.54,-13.68,Riviera Royal Hotel
571,Sokoni,TZ,78.8,few clouds,-6.43,39.55,Ujamaa Beach Resort
573,San Patricio,US,80.6,few clouds,28.02,-97.52,"Motel 6 Sinton, TX"
576,Banjar,ID,77.0,broken clouds,-8.19,114.97,The Hamsa Resort
577,Moranbah,AU,85.91,overcast clouds,-22.0,148.05,Direct Hotels - Monterey Moranbah
581,Moroni,KM,78.48,clear sky,-11.7,43.26,Hotel les Arcades
582,Byron Bay,AU,75.99,overcast clouds,-28.65,153.62,Backpackers Inn on the Beach
584,Gampengrejo,ID,80.83,broken clouds,-7.77,112.02,Lotus Garden Hotel
587,Limbang,MY,78.8,broken clouds,4.75,115.0,Purnama Hotel
590,Zinder,NE,75.92,scattered clouds,13.81,8.99,Sountalma Ousseini
594,Dubbo,AU,77.0,clear sky,-32.25,148.62,Comfort Inn Blue Lagoon
595,San Juan Del Sur,NI,78.8,scattered clouds,11.25,-85.87,Nuestra Casa
599,Kudahuvadhoo,MV,81.23,light rain,2.67,72.89,Kudahuvadhoo Retreat
600,Galle,LK,78.66,light rain,6.04,80.22,Amangalla
614,Bandarbeyla,SO,76.64,few clouds,9.49,50.81,JABIR HOTEL
615,Karratha,AU,85.91,clear sky,-20.74,116.85,ibis Styles Karratha
616,Roebourne,AU,86.52,clear sky,-20.78,117.13,Harding River Caravan Park
632,Amahai,ID,83.25,overcast clouds,-3.33,128.92,HOTEL ISABELA
633,Puerto Ayacucho,VE,77.65,broken clouds,5.66,-67.62,Posada Turistica Manapiare
637,Xai-Xai,MZ,78.78,scattered clouds,-25.05,33.64,Platinum Hotel
638,Dondo,MZ,78.8,clear sky,-19.61,34.74,Arco Iris
639,Treinta Y Tres,UY,76.5,clear sky,-33.23,-54.38,Jardines Apart-Hotel
641,Ranot,TH,79.63,light rain,7.78,100.32,Pakbanglake resort ปากบางเลค รีสอร์ท
642,Cururupu,BR,77.76,few clouds,-1.83,-44.87,Pousada Través'cia
647,Acapulco,MX,84.2,few clouds,16.86,-99.89,HS Hotsson Smart Acapulco
648,Labuan,MY,77.0,few clouds,5.28,115.24,Tiara Labuan Hotel
649,Icatu,BR,82.4,few clouds,-2.78,-44.07,Hotel Guaxenduba
655,Fuerte Olimpo,PY,88.11,clear sky,-21.04,-57.87,Hotel Fuerte Olimpo
656,Key West,US,78.8,clear sky,24.56,-81.78,Fairfield Inn & Suites by Marriott Key West
657,Sola,VU,79.93,few clouds,-13.88,167.55,Ulkel Guest House
662,Biak,ID,82.72,overcast clouds,-0.91,122.88,Kost Ariz
666,Naifaru,MV,81.41,overcast clouds,5.44,73.37,Naifaru Residence Guest House
668,Miraflores,MX,77.0,clear sky,19.22,-98.81,Hotel Mansión
671,Kalmunai,LK,77.38,overcast clouds,7.42,81.82,VS Villa
673,Hervey Bay,AU,82.99,heavy intensity rain,-25.3,152.85,Shelly Bay Resort
678,El Coco,PA,80.6,broken clouds,8.87,-79.81,Orange House 1
682,Sigli,ID,78.69,clear sky,5.38,95.96,Hotel Riza
683,Atambua,ID,85.73,few clouds,-9.11,124.89,Pondok Pesantren Al Muhajirin Atambua
686,Le Francois,MQ,78.8,few clouds,14.62,-60.9,Hôtel Frégate Bleue
694,Norsup,VU,86.0,scattered clouds,-16.07,167.38,Nabelchel Bungalows
698,Sungairaya,ID,77.7,overcast clouds,0.7,108.9,Mess P.Milu
700,Puerto Madero,MX,84.2,scattered clouds,14.72,-92.42,Hotel La Central
701,Kimbe,PG,80.69,moderate rain,-5.55,150.14,Kimbe Bay Hotel
