City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
116,Birjand,IR,32.87,59.22,28.4,74,0,6.93,clear sky
117,Cordoba,AR,-31.41,-64.18,89.6,35,40,12.75,scattered clouds
118,Hobart,AU,-42.88,147.33,79.0,46,0,13.87,clear sky
119,Kampot,KH,10.62,104.18,80.6,74,20,2.24,few clouds
120,Constitucion,CL,-35.33,-72.42,56.16,83,0,9.28,clear sky
121,Severo-Kurilsk,RU,50.68,156.12,30.06,92,90,32.82,overcast clouds
122,Quatre Cocos,MU,-20.21,57.76,75.99,88,75,10.29,shower rain
123,Baijiantan,CN,45.63,85.18,22.84,79,78,4.81,broken clouds
124,Ribeira Grande,PT,38.52,-28.7,57.34,62,17,18.52,few clouds
125,Likasi,CD,-10.98,26.73,61.93,94,76,3.8,broken clouds
126,Boca Do Acre,BR,-8.75,-67.4,77.04,91,65,2.15,broken clouds
127,Cabedelo,BR,-6.98,-34.83,77.0,83,20,4.7,few clouds
128,Richards Bay,ZA,-28.78,32.04,70.47,88,99,12.08,light rain
129,Verkhnyaya Inta,RU,65.98,60.31,19.51,97,100,5.14,overcast clouds
130,Coihaique,CL,-45.58,-72.07,50.0,66,75,3.36,broken clouds
131,Khasan,RU,42.43,130.64,35.2,79,68,6.96,broken clouds
132,Tiksi,RU,71.69,128.87,-1.66,92,100,7.67,overcast clouds
133,Cherskiy,RU,68.75,161.3,-0.96,92,100,4.21,light snow
134,Udachnyy,RU,66.42,112.4,-0.4,84,0,6.71,clear sky
135,Kibakwe,TZ,-6.72,36.37,66.33,86,67,3.11,broken clouds
136,Fortuna,US,40.6,-124.16,55.99,72,47,1.99,scattered clouds
137,Nelson Bay,AU,-32.72,152.15,73.0,56,40,10.29,scattered clouds
138,Kenai,US,60.55,-151.26,30.99,80,90,5.82,overcast clouds
139,Lebu,CL,-37.62,-73.65,55.11,90,9,3.69,clear sky
140,Anadyr,RU,64.75,177.48,26.6,86,75,22.37,broken clouds
141,Estacion Coahuila,MX,32.19,-115.0,75.99,12,5,4.7,clear sky
142,Villa Carlos Paz,AR,-31.42,-64.5,84.99,47,56,5.01,broken clouds
143,Kuldur,RU,49.22,131.63,14.65,88,89,4.07,overcast clouds
144,Makueni,KE,-1.8,37.62,66.54,91,47,1.36,scattered clouds
145,Touros,BR,-5.2,-35.46,78.8,78,40,8.05,scattered clouds
146,Tarakan,ID,3.3,117.63,79.84,83,100,10.87,light rain
147,Jasper,US,37.2,-94.35,55.4,93,90,12.75,mist
148,Jiuquan,CN,39.74,98.52,17.73,82,14,1.92,few clouds
149,Tezu,IN,27.92,96.17,59.59,36,5,3.83,clear sky
150,Port Hardy,CA,50.7,-127.42,44.6,87,75,4.7,broken clouds
151,Iqaluit,CA,63.75,-68.51,1.4,77,75,8.05,light snow
152,Qaanaaq,GL,77.48,-69.36,8.89,91,100,1.74,overcast clouds
153,Flin Flon,CA,54.77,-101.86,12.2,92,75,3.29,light snow
154,Mount Gambier,AU,-37.83,140.77,69.8,46,0,11.41,clear sky
155,Missungwi,TZ,-2.85,33.08,71.6,78,75,2.1,broken clouds
156,Faanui,PF,-16.48,-151.75,81.19,79,6,14.45,clear sky
157,Hilo,US,19.73,-155.09,82.4,58,1,3.36,clear sky
158,Soligalich,RU,59.08,42.29,31.6,99,100,4.34,overcast clouds
159,Gualeguay,AR,-33.14,-59.31,80.04,53,73,8.21,broken clouds
160,Petatlan,MX,17.52,-101.27,84.2,70,5,2.21,clear sky
161,Zhoucheng,CN,35.91,116.31,39.99,1,5,2.46,clear sky
162,Tocopilla,CL,-22.09,-70.2,65.84,61,34,8.5,scattered clouds
163,Provideniya,RU,64.38,-173.3,37.4,93,90,26.84,light rain
164,Assiniboia,CA,49.63,-105.98,23.0,79,0,8.05,clear sky
165,Barrow,US,71.29,-156.79,10.4,85,90,24.16,light snow
166,Hamilton,US,39.18,-84.53,46.99,65,1,5.77,clear sky
167,Craig,US,40.52,-107.55,37.4,44,90,11.41,overcast clouds
168,Puerto Escondido,MX,15.85,-97.07,86.0,62,20,5.82,few clouds
169,Tasiilaq,GL,65.61,-37.64,21.2,79,99,10.29,overcast clouds
170,San Quintin,MX,30.48,-115.95,62.85,67,0,9.55,clear sky
171,Hoi An,VN,15.88,108.33,78.8,83,40,5.82,scattered clouds
172,Brasileia,BR,-11.02,-68.75,80.6,88,75,3.36,broken clouds
173,Atuona,PF,-9.8,-139.03,78.76,73,14,13.87,few clouds
174,Grindavik,IS,63.84,-22.43,33.8,80,40,13.87,scattered clouds
175,Carnarvon,AU,-24.87,113.63,73.4,78,0,19.46,clear sky
176,Rudsar,IR,37.14,50.29,53.62,68,1,10.45,clear sky
177,Manaure,CO,11.78,-72.44,82.26,77,17,14.88,few clouds
178,Vitim,RU,59.45,112.56,6.46,93,100,7.2,overcast clouds
179,Doha,QA,25.29,51.53,68.0,72,0,10.29,clear sky
180,Bilibino,RU,68.05,166.44,-3.91,89,99,2.64,overcast clouds
181,Castro,BR,-24.79,-50.01,63.28,92,33,7.63,scattered clouds
182,Kharp,RU,66.8,65.81,9.72,94,100,1.66,overcast clouds
183,Warrington,GB,53.39,-2.58,53.6,81,96,16.11,overcast clouds
184,Lagoa,PT,39.05,-27.98,56.68,60,42,16.49,scattered clouds
